id,invoice_number,invoice_date,vehicle_number,gross_vehicle_weight,reference,no_of_crates,cost_per_crate,purchased_crates_quantity,purchased_crates_unit_price,vendor_id
4,SA2025S01,2025-03-30,0,0.00,,775.00,24.00,125.00,40.00,1
7,SA2025S02,2025-04-07,RJ 09 GE 3280,11310.00,,773.00,35.00,773.00,75.00,2
8,SA2025S03,2025-04-30,RJ 09 GE 4020,11870.00,,799.00,35.00,799.00,75.00,2
9,SA2025S04,2025-04-01,0,0.00,,1154.00,35.00,1154.00,75.00,2
10,SA2025S05,2025-04-02,0,0.00,,750.00,24.00,750.00,71.00,1
11,SA2025S06,2025-04-03,0,0.00,,2018.00,24.00,2018.00,71.00,1
12,SA2025S07,2025-04-03,0,0.00,,628.00,35.00,628.00,75.00,2
22,SA2025S08,2025-04-04,0,0.00,,1376.00,24.00,1376.00,71.00,1
23,SA2025S09,2025-04-06,0,0.00,,3102.00,24.00,3102.00,73.00,1
24,SA2025S10,2025-04-07,0,0.00,,2192.00,24.00,2192.00,73.00,1
25,SA2025S11,2025-04-07,0,0.00,,762.00,24.00,762.00,73.00,1
26,SA2025S12,2025-04-09,0,0.00,,1089.00,24.00,1089.00,73.00,1
27,SA2025S13,2025-04-05,0,0.00,,658.00,24.00,658.00,71.00,1
28,SA2025S14,2025-04-11,RJ 06 Gb 6282,0.00,,677.00,35.00,677.00,75.00,2
29,SA2025S15,2025-04-10,MH 26 B6 5712,0.00,BT Fruit Rajkot,700.00,35.00,700.00,75.00,2
31,SA2025S17,2025-04-10,MH 26 BE 8284,0.00,Rasheed bhai,797.00,35.00,797.00,75.00,2
32,SA2025S18,2025-04-13,MH 18  BG 5250,9720.00,,660.00,35.00,660.00,75.00,2
33,SA2025S19,2025-04-10,0,0.00,,1549.00,24.00,1549.00,73.00,1
34,SA2025S20,2025-04-11,0,0.00,,1141.00,24.00,1141.00,73.00,1
35,SA2025S21,2025-04-12,0,0.00,,2270.00,24.00,2270.00,73.00,1
36,SA2025S22,2025-04-13,0,0.00,Bill no 13,846.00,24.00,846.00,73.00,1
37,SA2025S23,2025-04-14,0,0.00,Bill no 14,1088.00,24.00,1088.00,73.00,1
38,SA2025S24,2025-04-15,0,0.00,Bill no 15,1606.00,24.00,1606.00,73.00,1
39,SA2025S25,2025-04-13,MH 26 BE 8284,0.00,Rasheed bhai,619.00,42.34,340.00,75.00,2
40,SA2025S26,2025-04-13,RJ 26 GA 8109,0.00,PN FRUIT,797.00,35.00,797.00,75.00,2
41,SA2025S27,2025-04-13,0,0.00,,1579.00,36.00,1435.00,75.00,2
42,SA2025S28,2025-04-14,0,0.00,,1777.00,36.60,1500.00,75.00,2
43,SA2025S29,2025-04-15,0,0.00,,860.00,35.00,860.00,75.00,2
