id,invoice_number,invoice_date,vehicle_number,gross_vehicle_weight,reference,no_of_crates,cost_per_crate,purchased_crates_quantity,purchased_crates_unit_price,vendor_id,product_id,product_name,quantity,unit_price,discount
4,SA2025S01,2025-03-30,0,0.00,Ref-SA2025S01,775.00,24.00,125.00,40.00,1,1,Mango,15500.00,1.20,0
7,SA2025S02,2025-04-07,RJ 09 GE 3280,11310.00,Ref-SA2025S02,773.00,35.00,773.00,75.00,2,1,Mango,15460.00,1.75,0
8,SA2025S03,2025-04-30,RJ 09 GE 4020,11870.00,Ref-SA2025S03,799.00,35.00,799.00,75.00,2,1,Mango,15980.00,1.75,0
9,SA2025S04,2025-04-01,0,0.00,Ref-SA2025S04,1154.00,35.00,1154.00,75.00,2,1,Mango,23080.00,1.75,0
10,SA2025S05,2025-04-02,0,0.00,Ref-SA2025S05,750.00,24.00,750.00,71.00,1,1,Mango,15000.00,1.20,0
11,SA2025S06,2025-04-03,0,0.00,Ref-SA2025S06,2018.00,24.00,2018.00,71.00,1,1,Mango,40360.00,1.20,0
12,SA2025S07,2025-04-03,0,0.00,Ref-SA2025S07,628.00,35.00,628.00,75.00,2,1,Mango,12560.00,1.75,0
22,SA2025S08,2025-04-04,0,0.00,Ref-SA2025S08,1376.00,24.00,1376.00,71.00,1,1,Mango,27520.00,1.20,0
23,SA2025S09,2025-04-06,0,0.00,Ref-SA2025S09,3102.00,24.00,3102.00,73.00,1,1,Mango,62040.00,1.20,0
24,SA2025S10,2025-04-07,0,0.00,Ref-SA2025S10,2192.00,24.00,2192.00,73.00,1,1,Mango,43840.00,1.20,0
25,SA2025S11,2025-04-07,0,0.00,Ref-SA2025S11,762.00,24.00,762.00,73.00,1,1,Mango,15240.00,1.20,0
26,SA2025S12,2025-04-09,0,0.00,Ref-SA2025S12,1089.00,24.00,1089.00,73.00,1,1,Mango,21780.00,1.20,0
27,SA2025S13,2025-04-05,0,0.00,Ref-SA2025S13,658.00,24.00,658.00,71.00,1,1,Mango,13160.00,1.20,0
28,SA2025S14,2025-04-11,RJ 06 Gb 6282,0.00,Ref-SA2025S14,677.00,35.00,677.00,75.00,2,1,Mango,13540.00,1.75,0
29,SA2025S15,2025-04-10,MH 26 B6 5712,0.00,BT Fruit Rajkot,700.00,35.00,700.00,75.00,2,1,Mango,14000.00,1.75,0
31,SA2025S17,2025-04-10,MH 26 BE 8284,0.00,Rasheed bhai,797.00,35.00,797.00,75.00,2,1,Mango,15940.00,1.75,0
32,SA2025S18,2025-04-13,MH 18  BG 5250,9720.00,Ref-SA2025S18,660.00,35.00,660.00,75.00,2,1,Mango,13200.00,1.75,0
33,SA2025S19,2025-04-10,0,0.00,Ref-SA2025S19,1549.00,24.00,1549.00,73.00,1,1,Mango,30980.00,1.20,0
34,SA2025S20,2025-04-11,0,0.00,Ref-SA2025S20,1141.00,24.00,1141.00,73.00,1,1,Mango,22820.00,1.20,0
35,SA2025S21,2025-04-12,0,0.00,Ref-SA2025S21,2270.00,24.00,2270.00,73.00,1,1,Mango,45400.00,1.20,0
36,SA2025S22,2025-04-13,0,0.00,Bill no 13,846.00,24.00,846.00,73.00,1,1,Mango,16920.00,1.20,0
37,SA2025S23,2025-04-14,0,0.00,Bill no 14,1088.00,24.00,1088.00,73.00,1,1,Mango,21760.00,1.20,0
38,SA2025S24,2025-04-15,0,0.00,Bill no 15,1606.00,24.00,1606.00,73.00,1,1,Mango,32120.00,1.20,0
39,SA2025S25,2025-04-13,MH 26 BE 8284,0.00,Rasheed bhai,619.00,42.34,340.00,75.00,2,1,Mango,12380.00,2.117,0
40,SA2025S26,2025-04-13,RJ 26 GA 8109,0.00,PN FRUIT,797.00,35.00,797.00,75.00,2,1,Mango,15940.00,1.75,0
41,SA2025S27,2025-04-13,0,0.00,Ref-SA2025S27,1579.00,36.00,1435.00,75.00,2,1,Mango,31580.00,1.80,0
42,SA2025S28,2025-04-14,0,0.00,Ref-SA2025S28,1777.00,36.60,1500.00,75.00,2,1,Mango,35540.00,1.83,0
43,SA2025S29,2025-04-15,0,0.00,Ref-SA2025S29,860.00,35.00,860.00,75.00,2,1,Mango,17200.00,1.75,0
